No	Message	User Action
1	mình muốn đăng ký gia sư tình bạn hóa đại cương á bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['gia sư tình bạn hóa đại cương']}, 'request_slots': {'register': 'UNK'}}, None)
2	cho mình hỏi ai được tham gia gia sư tình bạn hóa đại cương vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['gia sư tình bạn hóa đại cương']}, 'request_slots': {'joiner': 'UNK'}}, None)
3	bạn ơi cho mình hỏi loại hoạt động của hiến máu tình nguyện của bệnh viện chợ rẫy ở đại học ngoại thương tp hcm nha	({'intent': 'request', 'inform_slots': {'name_activity': ['hiến máu tình nguyện'], 'name_place': ['đại học ngoại thương tp hcm'], 'holder': ['bệnh viện chợ']}, 'request_slots': {'type_activity': 'UNK'}}, None)
4	cho mình hỏi đi hiến máu tình nguyện ở đại học ngoại thương thì được gì á	({'intent': 'request', 'inform_slots': {'name_activity': ['hiến máu tình nguyện'], 'name_place': ['đại học ngoại thương']}, 'request_slots': {'reward': 'UNK'}}, None)
5	mình muốn đăng ký hiến máu tình nguyện của đội ctxh thì làm sao thế	({'intent': 'request', 'inform_slots': {'name_activity': ['hiến máu tình nguyện'], 'type_activity': ['đội ctxh']}, 'request_slots': {'register': 'UNK'}}, None)
6	cho mình hỏi thời gian của chương trình hiến máu tình nguyện tại chợ rẫy nha	({'intent': 'request', 'inform_slots': {'name_activity': ['hiến máu tình nguyện'], 'type_activity': ['chương trình']}, 'request_slots': {'time': 'UNK'}}, None)
7	cho mình hỏi thông tin lợi ích khi tham dự ngày cuối tuần của tôi của đội ctxh đi bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['ngày cuối tuần của tôi'], 'type_activity': ['đội ctxh']}, 'request_slots': {'reward': 'UNK'}}, None)
8	đi ngày cuối tuần của tôi của đội ctxh thì làm công việc gì nhỉ bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['ngày cuối tuần của tôi'], 'type_activity': ['đội ctxh']}, 'request_slots': {'works': 'UNK'}}, {'works': ['làm công việc']})
9	cho mình xin thông tin liên hệ của hoạt động thả diều 2016 nha	({'intent': 'request', 'inform_slots': {'name_activity': ['thả diều 2016']}, 'request_slots': {'contact': 'UNK'}}, None)
10	cho mình hỏi ban tổ chức của ngày hội thả diều 2016 đi	({'intent': 'request', 'inform_slots': {'name_activity': ['thả diều 2016', 'ngày hội']}, 'request_slots': {'holder': 'UNK'}}, None)
11	đi thả diều 2016 là được thể hiện đam mê phải không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['thả diều 2016']}, 'request_slots': {'joiner': 'UNK'}}, None)
12	cho hỏi chào xuân đinh dậu 2017 là do ai tổ chức	({'intent': 'request', 'inform_slots': {'name_activity': ['chào xuân đinh dậu 2017']}, 'request_slots': {'holder': 'UNK'}}, None)
13	ai được quyền tham gia chào xuân đinh dậu 2017 thế	({'intent': 'request', 'inform_slots': {'name_activity': ['chào xuân đinh dậu 2017']}, 'request_slots': {'contact': 'UNK'}}, None)
14	cho hỏi thời gian diễn ra chào xuân đinh dậu 2017 của đội ctxh	({'intent': 'request', 'inform_slots': {'name_activity': ['chào xuân đinh dậu 2017'], 'type_activity': ['đội ctxh']}, 'request_slots': {'time': 'UNK'}}, None)
15	cho hỏi hoạt động khảo sát thể lực là do ai tổ chức nhỉ	({'intent': 'request', 'inform_slots': {'name_activity': ['khảo sát thể lực']}, 'request_slots': {'holder': 'UNK'}}, None)
16	cho hỏi lợi ích khi tham gia chương trình khảo sát thể lực của nhà trường	({'intent': 'request', 'inform_slots': {'name_activity': ['khảo sát thể lực'], 'type_activity': ['chương trình']}, 'request_slots': {'reward': 'UNK'}}, {'reward': ['của nhà trường']})
17	đi chương trình khảo sát thể lực của viện khoa học an toàn và vệ sinh lao động thì có những công việc gì vậy	({'intent': 'request', 'inform_slots': {'name_activity': ['khảo sát thể lực', 'an toàn'], 'type_activity': ['chương trình']}, 'request_slots': {'works': 'UNK'}}, {'works': ['và vệ sinh', 'của viện khoa']})
18	đi khảo sát thể lực là mình thu thập số liệu thể lực phải không bạn ơi	({'intent': 'other', 'inform_slots': {}, 'request_slots': {}}, None)
19	đi khảo sát thể lực là mình đo hoạt động khớp đúng không vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['khảo sát thể lực']}, 'request_slots': {'activity': 'UNK'}}, None)
20	đi khảo sát thể lực được hỗ trợ 30.000đ phải không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['khảo sát thể lực'], 'type_activity': ['hỗ trợ']}, 'request_slots': {'joiner': 'UNK'}}, {'joiner': ['✪ bạn', '30 .']})
21	hoạt động tư vấn hướng nghiệp là diễn ra ở đâu vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tư vấn hướng nghiệp']}, 'request_slots': {'name_place': 'UNK'}}, None)
22	đi tư vấn hướng nghiệp phân ngành là được gì á bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tư vấn hướng nghiệp phân ngành']}, 'request_slots': {'reward': 'UNK'}}, None)
23	tư vấn hướng nghiệp là ở sân b1 đúng không vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tư vấn hướng nghiệp']}, 'request_slots': {'name_place': 'UNK'}}, {'name_place': ['sân b1']})
24	đi tư vấn hướng nghiệp phân ngành là có nhiều quà đúng không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['tư vấn hướng nghiệp phân ngành']}, 'request_slots': {'works': 'UNK'}}, None)
25	cho mình hỏi địa chỉ của hiến máu tình nguyện đợt ii đi bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['hiến máu tình nguyện đợt ii']}, 'request_slots': {'address': 'UNK'}}, None)
26	khi nào thì diễn ra hiến máu tình nguyện đợt ii ở hội trường lớn đh ngân hàng vậy	({'intent': 'request', 'inform_slots': {'name_activity': ['hiến máu tình nguyện đợt ii'], 'name_place': ['hội trường lớn đh ngân hàng']}, 'request_slots': {'time': 'UNK'}}, None)
27	cho mình hỏi chương trình vì đàn em thân yêu năm 2018 diễn ra vào thời gian nào	({'intent': 'request', 'inform_slots': {'name_activity': ['vì đàn em thân yêu năm 2018'], 'type_activity': ['chương trình']}, 'request_slots': {'time': 'UNK'}}, None)
28	cho mình hỏi vì đàn em thân yêu năm 2018 là ở trường tiểu học tân hòa 1 đúng không bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['vì đàn em thân yêu năm 2018']}, 'request_slots': {'name_place': 'UNK'}}, {'name_place': ['trường tiểu học tân hòa 1']})
29	đi chương trình vì đàn em thân yêu 2018 thì được làm gì vậy	({'intent': 'request', 'inform_slots': {'name_activity': ['vì đàn em thân yêu'], 'type_activity': ['chương trình']}, 'request_slots': {'works': 'UNK'}}, None)
30	đi vì đàn em thân yêu là thực hiện công trình đúng không vậy bạn	({'intent': 'request', 'inform_slots': {'name_activity': ['vì đàn em thân yêu']}, 'request_slots': {'works': 'UNK'}}, {'works': ['thực hiện công trình']})
